track,algorithm
00050dd7458cf08e594c797930696bce.wav,4
00050dd7458cf08e594c797930696bce_noise_SNR15.wav,4
00050dd7458cf08e594c797930696bce_noise_SNR20.wav,4
00050dd7458cf08e594c797930696bce_noise_SNR25.wav,4
00050dd7458cf08e594c797930696bce_compressed.wav,4
00050dd7458cf08e594c797930696bce_reverb.wav,4
00070e7c531000d3dddc735d107275a9.wav,2
00070e7c531000d3dddc735d107275a9_noise_SNR15.wav,2
00070e7c531000d3dddc735d107275a9_noise_SNR20.wav,2
00070e7c531000d3dddc735d107275a9_noise_SNR25.wav,2
00070e7c531000d3dddc735d107275a9_compressed.wav,2
00070e7c531000d3dddc735d107275a9_reverb.wav,2
000f0711027a69b7f3886c2dbcb7d41f.wav,3
000f0711027a69b7f3886c2dbcb7d41f_noise_SNR15.wav,3
000f0711027a69b7f3886c2dbcb7d41f_noise_SNR20.wav,3
000f0711027a69b7f3886c2dbcb7d41f_noise_SNR25.wav,3
000f0711027a69b7f3886c2dbcb7d41f_compressed.wav,3
000f0711027a69b7f3886c2dbcb7d41f_reverb.wav,3
001e28e66dee24408aaf3480dfb95fbe.wav,1
001e28e66dee24408aaf3480dfb95fbe_noise_SNR15.wav,1
001e28e66dee24408aaf3480dfb95fbe_noise_SNR20.wav,1
001e28e66dee24408aaf3480dfb95fbe_noise_SNR25.wav,1
001e28e66dee24408aaf3480dfb95fbe_compressed.wav,1
001e28e66dee24408aaf3480dfb95fbe_reverb.wav,1
001eee950f60613869544b72cd48fe97.wav,2
001eee950f60613869544b72cd48fe97_noise_SNR15.wav,2
001eee950f60613869544b72cd48fe97_noise_SNR20.wav,2
001eee950f60613869544b72cd48fe97_noise_SNR25.wav,2
001eee950f60613869544b72cd48fe97_compressed.wav,2
001eee950f60613869544b72cd48fe97_reverb.wav,2
001f59a6ef884e2071ba1ee52cba8d09.wav,0
001f59a6ef884e2071ba1ee52cba8d09_noise_SNR15.wav,0
001f59a6ef884e2071ba1ee52cba8d09_noise_SNR20.wav,0
001f59a6ef884e2071ba1ee52cba8d09_noise_SNR25.wav,0
001f59a6ef884e2071ba1ee52cba8d09_compressed.wav,0
001f59a6ef884e2071ba1ee52cba8d09_reverb.wav,0
0022a32237a11ee475c7b96d82369596.wav,3
0022a32237a11ee475c7b96d82369596_noise_SNR15.wav,3
0022a32237a11ee475c7b96d82369596_noise_SNR20.wav,3
0022a32237a11ee475c7b96d82369596_noise_SNR25.wav,3
0022a32237a11ee475c7b96d82369596_compressed.wav,3
0022a32237a11ee475c7b96d82369596_reverb.wav,3
0022e7014db5482004d9e6f731cfbc8b.wav,4
0022e7014db5482004d9e6f731cfbc8b_noise_SNR15.wav,4
0022e7014db5482004d9e6f731cfbc8b_noise_SNR20.wav,4
0022e7014db5482004d9e6f731cfbc8b_noise_SNR25.wav,4
0022e7014db5482004d9e6f731cfbc8b_compressed.wav,4
0022e7014db5482004d9e6f731cfbc8b_reverb.wav,4
00317a6d7effa97c0dc7e1cf1b6d542d.wav,3
00317a6d7effa97c0dc7e1cf1b6d542d_noise_SNR15.wav,3
00317a6d7effa97c0dc7e1cf1b6d542d_noise_SNR20.wav,3
00317a6d7effa97c0dc7e1cf1b6d542d_noise_SNR25.wav,3
00317a6d7effa97c0dc7e1cf1b6d542d_compressed.wav,3
00317a6d7effa97c0dc7e1cf1b6d542d_reverb.wav,3
0036636e89ad53945f0f2707c09f148e.wav,1
0036636e89ad53945f0f2707c09f148e_noise_SNR15.wav,1
0036636e89ad53945f0f2707c09f148e_noise_SNR20.wav,1
0036636e89ad53945f0f2707c09f148e_noise_SNR25.wav,1
0036636e89ad53945f0f2707c09f148e_compressed.wav,1
0036636e89ad53945f0f2707c09f148e_reverb.wav,1
004e173fc8d58405c9cec8b256f52842.wav,0
004e173fc8d58405c9cec8b256f52842_noise_SNR15.wav,0
004e173fc8d58405c9cec8b256f52842_noise_SNR20.wav,0
004e173fc8d58405c9cec8b256f52842_noise_SNR25.wav,0
004e173fc8d58405c9cec8b256f52842_compressed.wav,0
004e173fc8d58405c9cec8b256f52842_reverb.wav,0
006c78a2629d193baf69107e6f9557ff.wav,1
006c78a2629d193baf69107e6f9557ff_noise_SNR15.wav,1
006c78a2629d193baf69107e6f9557ff_noise_SNR20.wav,1
006c78a2629d193baf69107e6f9557ff_noise_SNR25.wav,1
006c78a2629d193baf69107e6f9557ff_compressed.wav,1
006c78a2629d193baf69107e6f9557ff_reverb.wav,1
0081bef2286c79fd30cae67792086100.wav,1
0081bef2286c79fd30cae67792086100_noise_SNR15.wav,1
0081bef2286c79fd30cae67792086100_noise_SNR20.wav,1
0081bef2286c79fd30cae67792086100_noise_SNR25.wav,1
0081bef2286c79fd30cae67792086100_compressed.wav,1
0081bef2286c79fd30cae67792086100_reverb.wav,1
00856bb9827f0d85111fa409211dbf7e.wav,3
00856bb9827f0d85111fa409211dbf7e_noise_SNR15.wav,3
00856bb9827f0d85111fa409211dbf7e_noise_SNR20.wav,3
00856bb9827f0d85111fa409211dbf7e_noise_SNR25.wav,3
00856bb9827f0d85111fa409211dbf7e_compressed.wav,3
00856bb9827f0d85111fa409211dbf7e_reverb.wav,3
008e269e45cb63d2e6f07508a5482000.wav,0
008e269e45cb63d2e6f07508a5482000_noise_SNR15.wav,0
008e269e45cb63d2e6f07508a5482000_noise_SNR20.wav,0
008e269e45cb63d2e6f07508a5482000_noise_SNR25.wav,0
008e269e45cb63d2e6f07508a5482000_compressed.wav,0
008e269e45cb63d2e6f07508a5482000_reverb.wav,0
0093f56df1acd069bbf88ede88eb528d.wav,3
0093f56df1acd069bbf88ede88eb528d_noise_SNR15.wav,3
0093f56df1acd069bbf88ede88eb528d_noise_SNR20.wav,3
0093f56df1acd069bbf88ede88eb528d_noise_SNR25.wav,3
0093f56df1acd069bbf88ede88eb528d_compressed.wav,3
0093f56df1acd069bbf88ede88eb528d_reverb.wav,3
00a0661d8351e5132cb0df5e1b4f19e2.wav,1
00a0661d8351e5132cb0df5e1b4f19e2_noise_SNR15.wav,1
00a0661d8351e5132cb0df5e1b4f19e2_noise_SNR20.wav,1
00a0661d8351e5132cb0df5e1b4f19e2_noise_SNR25.wav,1
00a0661d8351e5132cb0df5e1b4f19e2_compressed.wav,1
00a0661d8351e5132cb0df5e1b4f19e2_reverb.wav,1
00aa20bc49a1008240105ad2d63a0f64.wav,0
00aa20bc49a1008240105ad2d63a0f64_noise_SNR15.wav,0
00aa20bc49a1008240105ad2d63a0f64_noise_SNR20.wav,0
00aa20bc49a1008240105ad2d63a0f64_noise_SNR25.wav,0
00aa20bc49a1008240105ad2d63a0f64_compressed.wav,0
00aa20bc49a1008240105ad2d63a0f64_reverb.wav,0
00afd54110183acd564d14422119da23.wav,3
00afd54110183acd564d14422119da23_noise_SNR15.wav,3
00afd54110183acd564d14422119da23_noise_SNR20.wav,3
00afd54110183acd564d14422119da23_noise_SNR25.wav,3
00afd54110183acd564d14422119da23_compressed.wav,3
00afd54110183acd564d14422119da23_reverb.wav,3
00b75d43ebb31451f80e742fdab790d7.wav,4
00b75d43ebb31451f80e742fdab790d7_noise_SNR15.wav,4
00b75d43ebb31451f80e742fdab790d7_noise_SNR20.wav,4
00b75d43ebb31451f80e742fdab790d7_noise_SNR25.wav,4
00b75d43ebb31451f80e742fdab790d7_compressed.wav,4
00b75d43ebb31451f80e742fdab790d7_reverb.wav,4
00c04d4ba166de6330f874014e58f6c6.wav,2
00c04d4ba166de6330f874014e58f6c6_noise_SNR15.wav,2
00c04d4ba166de6330f874014e58f6c6_noise_SNR20.wav,2
00c04d4ba166de6330f874014e58f6c6_noise_SNR25.wav,2
00c04d4ba166de6330f874014e58f6c6_compressed.wav,2
00c04d4ba166de6330f874014e58f6c6_reverb.wav,2
00c9a92b0acc342402454e6db238bbcc.wav,1
00c9a92b0acc342402454e6db238bbcc_noise_SNR15.wav,1
00c9a92b0acc342402454e6db238bbcc_noise_SNR20.wav,1
00c9a92b0acc342402454e6db238bbcc_noise_SNR25.wav,1
00c9a92b0acc342402454e6db238bbcc_compressed.wav,1
00c9a92b0acc342402454e6db238bbcc_reverb.wav,1
00d4474165837abbefaf1ae62bfa67e8.wav,2
00d4474165837abbefaf1ae62bfa67e8_noise_SNR15.wav,2
00d4474165837abbefaf1ae62bfa67e8_noise_SNR20.wav,2
00d4474165837abbefaf1ae62bfa67e8_noise_SNR25.wav,2
00d4474165837abbefaf1ae62bfa67e8_compressed.wav,2
00d4474165837abbefaf1ae62bfa67e8_reverb.wav,2
00d4b9d83e9fffc2ac59549c8219b8eb.wav,3
00d4b9d83e9fffc2ac59549c8219b8eb_noise_SNR15.wav,3
00d4b9d83e9fffc2ac59549c8219b8eb_noise_SNR20.wav,3
00d4b9d83e9fffc2ac59549c8219b8eb_noise_SNR25.wav,3
00d4b9d83e9fffc2ac59549c8219b8eb_compressed.wav,3
00d4b9d83e9fffc2ac59549c8219b8eb_reverb.wav,3
00dd0e930b7e6dc5a9f2286127fac6e1.wav,1
00dd0e930b7e6dc5a9f2286127fac6e1_noise_SNR15.wav,1
00dd0e930b7e6dc5a9f2286127fac6e1_noise_SNR20.wav,1
00dd0e930b7e6dc5a9f2286127fac6e1_noise_SNR25.wav,1
00dd0e930b7e6dc5a9f2286127fac6e1_compressed.wav,1
00dd0e930b7e6dc5a9f2286127fac6e1_reverb.wav,1
00dd2d99dfbc84e476a772579261bbcd.wav,1
00dd2d99dfbc84e476a772579261bbcd_noise_SNR15.wav,1
